state,action,reward,next state
"[130.8348846435547, 195.14244079589844, -0.003392620012164116, 29.222870644429317, 0.0]",0.0,"[0.8, 0.670587886559048, -0.001704835891723633, 1.4688830506673245]","[110.26529693603516, 195.14266967773438, -0.004252834245562553, 13.411757731180959, 1.0]"
"[110.26529693603516, 195.14266967773438, -0.004252834245562553, 13.411757731180959, 1.0]",0.0,"[0.8, 1.6065126700558214, -0.011692333221435548, 2.394820336834386]","[89.67111206054688, 201.49267578125, -0.0062001608312129974, 32.13025340111643, 0.0]"
"[89.67111206054688, 201.49267578125, -0.0062001608312129974, 32.13025340111643, 0.0]",1,"[0.8, 1.3801186771152516, -2.0942429546266795e-05, 2.180097734685705]","[88.40753936767578, 246.88490295410156, -0.004267520736902952, 27.60237354230503, 0.0]"
"[88.40753936767578, 246.88490295410156, -0.004267520736902952, 27.60237354230503, 0.0]",3,"[0.8, 1.3283044200512615, -2.4452805519104003e-06, 2.12830197477071]","[88.4124984741211, 284.1629333496094, -0.004152622073888779, 26.56608840102523, 0.0]"
"[88.4124984741211, 284.1629333496094, -0.004152622073888779, 26.56608840102523, 0.0]",4,"[0.8, 0.5986884665833984, -2.1433806978166103e-06, 1.3986863232027007]","[88.4168472290039, 300.3572692871094, -0.004885120317339897, 11.973769331667967, 1.0]"
"[88.4168472290039, 300.3572692871094, -0.004885120317339897, 11.973769331667967, 1.0]",3,"[0.8, 3.261678590202071e-08, -1.6231883392947567e-10, 0.8000000324544672]","[88.41665649414062, 302.7644958496094, -0.004700260236859322, 6.523357180404142e-07, 1.0]"
"[88.41665649414062, 302.7644958496094, -0.004700260236859322, 6.523357180404142e-07, 1.0]",5,"[0.8, 1.5882328149419762e-07, -4.998761141905561e-08, 0.8000001088356701]","[88.41665649414062, 302.7644958496094, -0.004700260236859322, 3.1764656298839523e-06, 1.0]"
"[88.41665649414062, 302.7644958496094, -0.004700260236859322, 3.1764656298839523e-06, 1.0]",5,"[0.8, 4.121887719139304e-08, -2.745664914982626e-08, 0.8000000137622281]","[88.41665649414062, 302.7644958496094, -0.004700260236859322, 8.243775438278607e-07, 1.0]"
"[88.41665649414062, 302.7644958496094, -0.004700260236859322, 8.243775438278607e-07, 1.0]",5,"[0.8, 2.592089499312802e-07, -1.116736640938143e-09, 0.8000002580922133]","[88.41665649414062, 302.7644958496094, -0.004700260236859322, 5.184178998625605e-06, 1.0]"
"[88.41665649414062, 302.7644958496094, -0.004700260236859322, 5.184178998625605e-06, 1.0]",5,"[0.8, 0.7757059748018685, -0.003997594118118286, 1.5717083806837504]","[88.44860076904297, 314.316650390625, -0.004710483364760876, 15.51411949603737, 0.0]"
"[88.44860076904297, 314.316650390625, -0.004710483364760876, 15.51411949603737, 0.0]",1,"[0.8, 0.8280259386693896, -0.0012420654296875, 1.626783873239702]","[103.08727264404297, 330.3310852050781, -0.004686756059527397, 16.56051877338779, 0.0]"
"[103.08727264404297, 330.3310852050781, -0.004686756059527397, 16.56051877338779, 0.0]",1,"[0.8, 2.4697017029772685, -5.7220458984375e-07, 3.2697011307726784]","[164.22036743164062, 330.59661865234375, -0.004562931135296822, 49.3940458529876, 0.0]"
"[164.22036743164062, 330.59661865234375, -0.004562931135296822, 49.3940458529876, 0.0]",1,"[0.8, 2.9818817663225854, -0.031499481201171874, 3.7503822851214137]","[238.2039031982422, 330.60565185546875, -0.005949001293629408, 59.6376353264517, 0.0]"
"[238.2039031982422, 330.60565185546875, -0.005949001293629408, 59.6376353264517, 0.0]",0.0,"[0.8, 1.2611627647857901, -0.026672744750976564, 2.0344900200348137]","[307.7171325683594, 330.61065673828125, -0.004157504998147488, 25.223255295715802, 0.0]"
"[307.7171325683594, 330.61065673828125, -0.004157504998147488, 25.223255295715802, 0.0]",0.0,"[0.8, 9.628328308303592e-08, -2.7293543780615436e-09, 0.8000000935539288]","[315.7280578613281, 330.61328125, -0.004700031131505966, 1.925665661660718e-06, 0.0]"
